@id,name:cy,name,highway,@lat,@lon
26583359,Heol Langdon,Langdon Road,unclassified,,
26585992,Heol Bigyn,Bigyn Road,residential,,
26608280,Heol Aberavon,Aberavon Road,unclassified,,
26608281,Heol Morfa,,residential,,
26608285,Heol Southdown,Southdown Road,residential,,
26608287,Heol Croes y De,South Cross Road,residential,,
26608390,Rhodfa Mozart,Mozart Drive,residential,,
26608391,Rhodfa Elgar,Elgar Avenue,residential,,
26608392,Heol Bach,Bach Road,residential,,
26608394,Heol Verdi,Verdi Road,residential,,
26608396,Rhodfa Gwinau,Auburn Avenue,residential,,
26608398,Rhodfa Arian,Silver Avenue,residential,,
26621931,Glan-yr-Avon,Riverside,residential,,
26621945,Clos Layton,Layton Close,residential,,
26624924,Stryd Rhydychen,Union Street,pedestrian,,
26664849,Heol Bronwydd,Bronwydd Road,primary,,
26709460,Feidr Felin,Mill Lane,unclassified,,
26709483,Feidr Eglwys,Church Street,unclassified,,
26709484,Heol Hîr,Long Street,residential,,
26709497,Feidr Castell,Castle Street,residential,,
26715782,Heol Fair Uchaf,Heol Fair Uchaf,unclassified,,
26716727,Heol Fair Uchaf,Heol Fair Uchaf,unclassified,,
26717006,Heol Fair Isaf,Heol Fair Isaf,unclassified,,
26717009,Heol Fair Isaf,Lower St Mary's Street,residential,,
26729807,Stryd y Dwr,Water Street,unclassified,,
26729832,Stryd y Dwr,Water Street,tertiary,,
26729885,Stryd y Dwr,Water Street,tertiary,,
26730135,Y Rhiw,The Rhiw,unclassified,,
26734369,Heol Strauss,Strauss Road,residential,,
26734370,Rhodfa Ysgarlad,Scarlet Avenue,service,,
26734371,Rhodfa Dugoch,Crimson Avenue,residential,,
26734372,Rhodfa Sabl,Sable Avenue,residential,,
26734373,Rhodfa Citrine,Citrine Avenue,residential,,
26734374,Rhodfa Handel,Handel Avenue,residential,,
26734375,Heol Chopin,Chopin Road,residential,,
26745699,Ffordd y Gorllewin,Westway,tertiary,,
26757565,Heol Parry,Parry Road,residential,,
26757566,Heol Wagner,Wagner Road,residential,,
26757774,Clos Stuart,Stuart Close,residential,,
26757921,Heol Southville,Southville Road,residential,,
26803944,Heol Arenig,Heol Arenig,residential,,
26803945,Heol Plasey,Heol Plasey,residential,,
26821540,Stryd Y Parc,Park Street,residential,,
26821542,Heol Drummau,Drummau Road,unclassified,,
